iter	Passed	Remaining
538	17236	14742
539	17271	14712
540	17302	14679
541	17335	14648
542	17373	14621
543	17404	14589
544	17434	14555
545	17464	14521
546	17493	14487
547	17523	14453
548	17555	14421
549	17589	14391
550	17618	14357
551	17649	14324
552	17680	14291
553	17710	14258
554	17742	14226
555	17771	14191
556	17801	14157
557	17831	14124
558	17863	14092
559	17896	14061
560	17930	14031
561	17968	14003
562	18001	13972
563	18035	13942
564	18068	13911
565	18097	13877
566	18130	13845
567	18163	13814
568	18194	13781
569	18226	13749
570	18260	13719
571	18295	13689
572	18327	13657
573	18361	13627
574	18393	13595
575	18423	13562
576	18451	13527
577	18486	13496
578	18518	13464
579	18547	13431
580	18579	13399
581	18610	13366
582	18639	13332
583	18669	13298
584	18697	13264
585	18730	13232
586	18764	13201
587	18791	13166
588	18822	13133
589	18853	13101
590	18887	13070
591	18916	13037
592	18948	13004
593	18978	12972
594	19008	12938
595	19040	12906
596	19070	12873
597	19100	12840
598	19132	12807
599	19171	12780
600	19195	12743
601	19227	12711
602	19259	12679
603	19290	12647
604	19319	12613
605	19375	12597
606	19461	12600
607	19559	12610
608	19652	12617
609	19758	12632
610	19893	12665
611	19944	12644
612	20061	12665
613	20155	12671
614	20193	12641
615	20232	12612
616	20265	12579
617	20301	12548
618	20331	12513
619	20363	12480
620	20395	12447
621	20425	12412
622	20460	12381
623	20499	12352
624	20535	12321
625	20572	12290
626	20602	12256
627	20631	12221
628	20663	12187
629	20702	12158
630	20735	12125
631	20771	12095
632	20801	12060
633	20839	12030
634	20878	12001
635	20912	11968
636	20961	11944
637	21017	11925
638	21060	11898
639	21095	11865
640	21126	11832
641	21163	11801
642	21197	11769
643	21234	11738
644	21267	11705
645	21301	11673
646	21331	11638
647	21362	11604
648	21397	11572
649	21428	11538
650	21458	11503
651	21488	11469
652	21518	11435
653	21550	11401
654	21581	11367
655	21613	11333
656	21645	11300
657	21678	11267
658	21706	11232
659	21738	11198
660	21774	11167
661	21807	11134
662	21841	11101
663	21872	11068
664	21904	11034
665	21934	11000
666	21965	10966
667	21999	10934
668	22032	10900
669	22074	10872
670	22107	10839
671	22140	10806
672	22173	10773
673	22206	10741
674	22239	10707
675	22275	10676
676	22310	10644
677	22341	10610
678	22372	10576
679	22403	10542
680	22433	10508
681	22466	10475
682	22497	10441
683	22530	10409
684	22562	10375
685	22595	10342
686	22625	10308
687	22655	10273
688	22686	10240
689	22717	10206
690	22746	10171
691	22775	10137
692	22806	10103
693	22836	10068
694	22870	10036
695	22902	10003
696	22933	9969
697	22966	9936
698	23000	9904
699	23028	9869
700	23062	9836
701	23094	9803
702	23129	9771
703	23157	9736
704	23194	9705
705	23224	9671
706	23263	9641
707	23295	9607
708	23330	9575
709	23361	9542
710	23396	9510
711	23429	9477
712	23461	9444
713	23491	9409
714	23523	9376
715	23554	9343
716	23585	9309
717	23620	9276
718	23658	9246
719	23689	9212
720	23721	9179
721	23751	9145
722	23781	9111
723	23814	9078
724	23844	9044
725	23880	9012
726	23912	8979
727	23943	8945
728	23973	8912
729	24006	8879
730	24039	8846
731	24070	8812
732	24105	8780
733	24137	8747
734	24170	8714
735	24204	8681
736	24236	8648
737	24267	8615
738	24297	8581
739	24328	8547
740	24359	8514
741	24388	8480
742	24417	8446
743	24450	8413
744	24481	8379
745	24511	8345
746	24543	8312
747	24574	8278
748	24606	8245
749	24636	8212
750	24668	8178
751	24699	8145
752	24731	8112
753	24763	8079
754	24796	8046
755	24827	8013
756	24858	7979
757	24889	7946
758	24919	7912
759	24949	7878
760	24985	7847
761	25010	7811
762	25038	7777
763	25067	7743
764	25097	7709
765	25127	7675
766	25158	7642
767	25189	7609
768	25222	7576
769	25259	7544
770	25289	7511
771	25318	7477
772	25348	7443
773	25379	7410
774	25408	7376
775	25440	7343
776	25471	7310
777	25502	7276
778	25531	7243
779	25563	7210
780	25594	7176
781	25624	7143
782	25658	7110
783	25689	7077
784	25720	7044
785	25750	7010
786	25780	6977
787	25810	6943
788	25840	6910
789	25872	6877
790	25902	6844
791	25930	6810
792	25961	6776
793	25993	6743
794	26024	6710
795	26057	6678
796	26087	6644
797	26118	6611
798	26147	6577
799	26178	6544
800	26212	6512
801	26245	6479
802	26377	6471
803	26433	6444
804	26462	6410
805	26494	6377
806	26526	6344
807	26556	6310
808	26588	6277
809	26621	6244
810	26666	6214
811	26759	6195
812	26920	6191
813	26957	6159
814	26990	6126
815	27023	6093
816	27055	6060
817	27087	6026
818	27116	5992
819	27149	5959
820	27181	5926
821	27211	5892
822	27237	5857
823	27270	5824
824	27301	5791
825	27331	5757
826	27364	5724
827	27394	5690
828	27425	5657
829	27456	5623
830	27486	5589
831	27516	5556
832	27545	5522
833	27575	5488
834	27608	5455
835	27640	5422
836	27671	5388
837	27704	5355
838	27736	5322
839	27766	5288
840	27795	5255
841	27826	5221
842	27852	5187
843	27882	5153
844	27913	5120
845	27942	5086
846	27972	5052
847	28004	5019
848	28035	4986
849	28067	4953
850	28102	4920
851	28134	4887
852	28164	4853
853	28196	4820
854	28228	4787
855	28262	4754
856	28291	4720
857	28328	4688
858	28364	4655
859	28398	4622
860	28431	4589
861	28465	4557
862	28498	4524
863	28531	4491
864	28560	4457
865	28591	4424
866	28621	4390
867	28656	4357
868	28686	4324
869	28718	4291
870	28750	4258
871	28781	4224
872	28810	4191
873	28841	4157
874	28870	4124
875	28903	4091
876	28935	4058
877	28963	4024
878	28995	3991
879	29026	3958
880	29055	3924
881	29084	3891
882	29116	3858
883	29150	3825
884	29183	3792
885	29217	3759
886	29252	3726
887	29289	3694
888	29320	3660
889	29354	3628
890	29385	3594
891	29417	3561
892	29453	3529
893	29485	3496
894	29516	3462
895	29547	3429
896	29582	3396
897	29613	3363
898	29642	3330
899	29672	3296
900	29704	3263
901	29733	3230
902	29765	3197
903	29795	3164
904	29827	3131
905	29856	3097
906	29887	3064
907	29917	3031
908	29948	2998
909	29979	2964
910	30011	2932
911	30043	2898
912	30073	2865
913	30106	2832
914	30136	2799
915	30167	2766
916	30197	2733
917	30231	2700
918	30263	2667
919	30295	2634
920	30325	2601
921	30355	2568
922	30385	2534
923	30416	2501
924	30447	2468
925	30479	2435
926	30511	2402
927	30543	2369
928	30572	2336
929	30602	2303
930	30631	2270
931	30662	2237
932	30691	2203
933	30720	2170
934	30754	2138
935	30785	2105
936	30818	2072
937	30850	2039
938	30880	2006
939	30913	1973
940	30942	1940
941	30981	1907
942	31013	1874
943	31045	1841
944	31071	1808
945	31107	1775
946	31136	1742
947	31165	1709
948	31196	1676
949	31227	1643
950	31258	1610
951	31289	1577
952	31323	1544
953	31356	1511
954	31386	1478
955	31415	1445
956	31446	1412
957	31475	1379
958	31507	1347
959	31539	1314
960	31571	1281
961	31603	1248
962	31633	1215
963	31664	1182
964	31696	1149
965	31727	1116
966	31759	1083
967	31793	1051
968	31823	1018
969	31853	985
970	31883	952
971	31916	919
972	31949	886
973	31980	853
974	32013	820
975	32043	787
976	32073	755
977	32104	722
978	32135	689
979	32163	656
980	32196	623
981	32226	590
982	32257	557
983	32287	524
984	32317	492
985	32346	459
986	32374	426
987	32406	393
988	32437	360
989	32465	327
990	32495	295
991	32527	262
992	32556	229
993	32589	196
994	32621	163
995	32651	131
996	32681	98
997	32712	65
998	32743	32
999	32770	0
