iter	Logloss
0	0.5845813228
1	0.5067014094
2	0.4555460501
3	0.4248908623
4	0.4002799609
5	0.388667054
6	0.3682090188
7	0.3549049449
8	0.3440588556
9	0.3360411168
10	0.3271711817
11	0.3209953107
12	0.3079290909
13	0.2988925593
14	0.2935351417
15	0.2870183487
16	0.2823670164
17	0.2760967794
18	0.2692436871
19	0.2648016171
20	0.2614896025
21	0.2547457923
22	0.2487342786
23	0.2427850211
24	0.2376649627
25	0.2356434322
26	0.230656162
27	0.2274007354
28	0.2247766495
29	0.2198914672
30	0.2155259635
31	0.2136295635
32	0.2105655866
33	0.2075244999
34	0.2016671726
35	0.1979427698
36	0.1961639558
37	0.1899368089
38	0.1881065167
39	0.1848123116
40	0.1836940879
41	0.1815291297
42	0.1806631866
43	0.1793509461
44	0.1754872544
45	0.1726401239
46	0.1695323247
47	0.1679783183
48	0.1669684136
49	0.1643177658
50	0.1635710048
51	0.1619997431
52	0.1616563821
53	0.1603096904
54	0.1595164247
55	0.1578427682
56	0.1561894855
57	0.1550597452
58	0.1541428121
59	0.1536607778
60	0.1524690592
61	0.1512789705
62	0.1495795918
63	0.1485771624
64	0.1469998319
65	0.1462399925
66	0.1448775253
67	0.14397773
68	0.1435082378
69	0.1430104674
70	0.1422264071
71	0.1416173862
72	0.1404135732
73	0.1395753249
74	0.1393237493
75	0.1392391136
76	0.1378690338
77	0.1365352923
78	0.1359371497
79	0.1352490226
80	0.1351638245
81	0.134388836
82	0.1337639963
83	0.1333296383
84	0.1328846029
85	0.1315439561
86	0.131375355
87	0.1309671015
88	0.1304195302
89	0.1294331831
90	0.1293280837
91	0.1292086314
92	0.1289151203
93	0.1284270099
94	0.1279474993
95	0.1270818288
96	0.1267515484
97	0.1258494395
98	0.1253099865
99	0.1247588138
100	0.1239988055
101	0.1238422549
102	0.1235545562
103	0.1232249619
104	0.122969399
105	0.1226218512
106	0.122469156
107	0.1220028121
108	0.1214349736
109	0.121181168
110	0.121084012
111	0.120929753
112	0.1208707669
113	0.120249265
114	0.11956352
115	0.1190233581
116	0.1189749021
117	0.1187587384
118	0.1185584914
119	0.1184725986
120	0.1181056826
121	0.1178285468
122	0.1176360608
123	0.1171435734
124	0.1168456734
125	0.116676453
126	0.116517708
127	0.1163610365
128	0.1159836614
129	0.115589245
130	0.1152797092
131	0.1149864783
132	0.114888178
133	0.1146848949
134	0.1142820188
135	0.1140568453
136	0.1137970977
137	0.1136998626
138	0.1130424142
139	0.1127646342
140	0.1125843057
141	0.1123176568
142	0.1121573164
143	0.1120098125
144	0.1113667243
145	0.1108402654
146	0.1108008633
147	0.1105818259
148	0.1102779432
149	0.1101738564
150	0.1100606091
151	0.1096871734
152	0.1093599403
153	0.1092419609
154	0.1091668432
155	0.108712573
156	0.1086676481
157	0.1084435312
158	0.1081235986
159	0.1076130823
160	0.1071455091
161	0.1070169799
162	0.1069146574
163	0.1066275375
164	0.1064670599
165	0.1063513754
166	0.1061864652
167	0.1060338953
168	0.105894587
169	0.1057724731
170	0.1056752825
171	0.1053516134
172	0.1052372978
173	0.1051029844
174	0.1050321514
175	0.104964945
176	0.1048962087
177	0.1048091174
178	0.1046855151
179	0.1044715934
180	0.1044001675
181	0.1042595186
182	0.1038219159
183	0.1037083855
184	0.1036159483
185	0.1035512186
186	0.1034649538
187	0.1033672669
188	0.1032235789
189	0.1031943744
190	0.1030048301
191	0.1028663776
192	0.1027316605
193	0.1024632935
194	0.1024275055
195	0.1023460439
196	0.1023163164
197	0.1022629419
198	0.1020916823
199	0.1019422961
200	0.1018966913
201	0.1016404565
202	0.1013925206
203	0.101028816
204	0.1008045962
205	0.1007061385
206	0.1006610121
207	0.1006397874
208	0.1004644802
209	0.1003234559
210	0.1002358044
211	0.1000510448
212	0.099980786
213	0.09986488747
214	0.09980139493
215	0.09976918068
216	0.09968207544
217	0.09961208613
218	0.09958074289
219	0.09949510268
220	0.09941777227
221	0.09923226767
222	0.09919401954
223	0.09917031758
224	0.09898766679
225	0.09883692503
226	0.09872442782
227	0.09869934712
228	0.09854148364
229	0.09845760138
230	0.09841247178
231	0.09836838611
232	0.09834030684
233	0.09831079432
234	0.09825889691
235	0.09819654147
236	0.09814956246
237	0.0981200485
238	0.09807248814
239	0.09803860908
240	0.09800413924
241	0.09796363746
242	0.09794408238
243	0.09787618711
244	0.09776391064
245	0.09774459678
246	0.09754070525
247	0.09751517144
248	0.09749350248
249	0.09742868703
250	0.09730956709
251	0.09723767393
252	0.0972065547
253	0.09710489248
254	0.09707592685
255	0.09703764824
256	0.09699543072
257	0.09696153807
258	0.09685275555
259	0.0968241923
260	0.09680227896
261	0.09670855186
262	0.09660236197
263	0.09658062133
264	0.09652087199
265	0.09648957327
266	0.09646993664
267	0.09643804191
268	0.09641088525
269	0.09639466918
270	0.09634752503
271	0.09632529865
272	0.09623653869
273	0.09618507229
274	0.09614319416
275	0.09605435908
276	0.09603687102
277	0.09601471079
278	0.09598479145
279	0.09590854671
280	0.09588950624
281	0.09583389188
282	0.09580784623
283	0.095707736
284	0.09564626544
285	0.09550671604
286	0.09533767412
287	0.09529190076
288	0.09527225128
289	0.09524475121
290	0.09522020195
291	0.09519398826
292	0.09516418804
293	0.09514281552
294	0.09512255456
295	0.09506850196
296	0.09505063299
297	0.09498920263
298	0.09497223847
299	0.09492095279
300	0.0948986906
301	0.09486697594
302	0.09481558645
303	0.0947870225
304	0.094751028
305	0.09473762535
306	0.0946801024
307	0.09466204898
308	0.09459898461
309	0.09452078195
310	0.09444393987
311	0.09442490883
312	0.09440096042
313	0.09437125935
314	0.09435343287
315	0.09433600242
316	0.0942233962
317	0.09420074275
318	0.09411445172
319	0.09408803638
320	0.09405052247
321	0.09402252707
322	0.09399336858
323	0.09396891415
324	0.09394788794
325	0.0939146169
326	0.09389621607
327	0.0938824571
328	0.09385305012
329	0.09383613132
330	0.09380242277
331	0.09376554937
332	0.09374555658
333	0.09372297823
334	0.0937085742
335	0.09366505321
336	0.09363645734
337	0.09356559685
338	0.09355275148
339	0.0934740183
340	0.0934617989
341	0.09344028723
342	0.09342347174
343	0.09340804407
344	0.09336187231
345	0.09334506486
346	0.09331852323
347	0.09329495355
348	0.09317703661
349	0.0931201841
350	0.09308248974
351	0.09304291168
352	0.0929643589
353	0.09290952232
354	0.09288478614
355	0.09286342937
356	0.09283278865
357	0.09280690938
358	0.09275757132
359	0.09274370607
360	0.09270789987
361	0.09269875252
362	0.09264252819
363	0.09261805333
364	0.09260382421
365	0.09258247206
366	0.09254646446
367	0.09252623166
368	0.09250516264
369	0.0924882076
370	0.09247147917
371	0.0924546252
372	0.09243634392
373	0.09241973783
374	0.09239979716
375	0.09237944421
376	0.09236226987
377	0.09233929456
378	0.0923158568
379	0.0922921722
380	0.09227862671
381	0.09226590583
382	0.09225277052
383	0.09224122846
384	0.09220907351
385	0.09219017551
386	0.09216964441
387	0.09216191832
388	0.09211763855
389	0.09206959874
390	0.09204275948
391	0.09197131413
392	0.09195700088
393	0.0919188246
394	0.09188260627
395	0.09186139565
396	0.09184805682
397	0.09183181461
398	0.09180830564
399	0.09178796435
400	0.09176648388
401	0.09175386971
402	0.09174073335
403	0.09172199597
404	0.09170378563
405	0.09167417144
406	0.09165779402
407	0.09162883391
408	0.0915984537
